Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,12070,0,0,273.15,10.1021/ie50501a040
NG,3900,0,0,283.15,10.1021/ie50501a040
NG,1412,0,0,293.15,10.1021/ie50501a040
NG,612,0,0,303.15,10.1021/ie50501a040
NG,284,0,0,313.15,10.1021/ie50501a040
NG,142,0,0,323.15,10.1021/ie50501a040
NG,81.3,0,0,333.15,10.1021/ie50501a040
NG,50.6,0,0,343.15,10.1021/ie50501a040
NG,31.9,0,0,353.15,10.1021/ie50501a040
NG,21.3,0,0,363.15,10.1021/ie50501a040
NG,14.8,0,0,373.15,10.1021/ie50501a040
NG,9420,0,0.049138515,273.15,10.1021/ie50501a040
NG,3090,0,0.049138515,283.15,10.1021/ie50501a040
NG,1150,0,0.049138515,293.15,10.1021/ie50501a040
NG,500,0,0.049138515,303.15,10.1021/ie50501a040
NG,235,0,0.049138515,313.15,10.1021/ie50501a040
NG,122,0,0.049138515,323.15,10.1021/ie50501a040
NG,69.1,0,0.049138515,333.15,10.1021/ie50501a040
NG,43.6,0,0.049138515,343.15,10.1021/ie50501a040
NG,27.8,0,0.049138515,353.15,10.1021/ie50501a040
NG,19,0,0.049138515,363.15,10.1021/ie50501a040
NG,13.2,0,0.049138515,373.15,10.1021/ie50501a040
NG,7370,0,0.094539519,273.15,10.1021/ie50501a040
NG,2460,0,0.094539519,283.15,10.1021/ie50501a040
NG,939,0,0.094539519,293.15,10.1021/ie50501a040
NG,409,0,0.094539519,303.15,10.1021/ie50501a040
NG,196,0,0.094539519,313.15,10.1021/ie50501a040
NG,104,0,0.094539519,323.15,10.1021/ie50501a040
NG,59.8,0,0.094539519,333.15,10.1021/ie50501a040
NG,38.5,0,0.094539519,343.15,10.1021/ie50501a040
NG,24.8,0,0.094539519,353.15,10.1021/ie50501a040
NG,17,0,0.094539519,363.15,10.1021/ie50501a040
NG,12.2,0,0.094539519,373.15,10.1021/ie50501a040
NG,5770,0,0.136613805,273.15,10.1021/ie50501a040
NG,1950,0,0.136613805,283.15,10.1021/ie50501a040
NG,765,0,0.136613805,293.15,10.1021/ie50501a040
NG,340,0,0.136613805,303.15,10.1021/ie50501a040
NG,166,0,0.136613805,313.15,10.1021/ie50501a040
NG,88,0,0.136613805,323.15,10.1021/ie50501a040
NG,51.9,0,0.136613805,333.15,10.1021/ie50501a040
NG,33.6,0,0.136613805,343.15,10.1021/ie50501a040
NG,21.9,0,0.136613805,353.15,10.1021/ie50501a040
NG,15.1,0,0.136613805,363.15,10.1021/ie50501a040
NG,10.9,0,0.136613805,373.15,10.1021/ie50501a040
NG,4600,0,0.175714095,273.15,10.1021/ie50501a040
NG,1585,0,0.175714095,283.15,10.1021/ie50501a040
NG,624,0,0.175714095,293.15,10.1021/ie50501a040
NG,281,0,0.175714095,303.15,10.1021/ie50501a040
NG,142,0,0.175714095,313.15,10.1021/ie50501a040
NG,77.8,0,0.175714095,323.15,10.1021/ie50501a040
NG,45.4,0,0.175714095,333.15,10.1021/ie50501a040
NG,29.7,0,0.175714095,343.15,10.1021/ie50501a040
NG,19.6,0,0.175714095,353.15,10.1021/ie50501a040
NG,13.6,0,0.175714095,363.15,10.1021/ie50501a040
NG,10.1,0,0.175714095,373.15,10.1021/ie50501a040
NG,3690,0,0.212144947,273.15,10.1021/ie50501a040
NG,1270,0,0.212144947,283.15,10.1021/ie50501a040
NG,523,0,0.212144947,293.15,10.1021/ie50501a040
NG,237,0,0.212144947,303.15,10.1021/ie50501a040
NG,121,0,0.212144947,313.15,10.1021/ie50501a040
NG,67,0,0.212144947,323.15,10.1021/ie50501a040
NG,39.9,0,0.212144947,333.15,10.1021/ie50501a040
NG,26.4,0,0.212144947,343.15,10.1021/ie50501a040
NG,17.5,0,0.212144947,353.15,10.1021/ie50501a040
NG,12.4,0,0.212144947,363.15,10.1021/ie50501a040
NG,9.08,0,0.212144947,373.15,10.1021/ie50501a040
NG,2930,0,0.246170708,273.15,10.1021/ie50501a040
NG,1040,0,0.246170708,283.15,10.1021/ie50501a040
NG,437,0,0.246170708,293.15,10.1021/ie50501a040
NG,202,0,0.246170708,303.15,10.1021/ie50501a040
NG,105,0,0.246170708,313.15,10.1021/ie50501a040
NG,58.4,0,0.246170708,323.15,10.1021/ie50501a040
NG,35.4,0,0.246170708,333.15,10.1021/ie50501a040
NG,23.6,0,0.246170708,343.15,10.1021/ie50501a040
NG,15.8,0,0.246170708,353.15,10.1021/ie50501a040
NG,11.2,0,0.246170708,363.15,10.1021/ie50501a040
NG,8.19,0,0.246170708,373.15,10.1021/ie50501a040
NG,2400,0,0.278021935,273.15,10.1021/ie50501a040
NG,860,0,0.278021935,283.15,10.1021/ie50501a040
NG,367,0,0.278021935,293.15,10.1021/ie50501a040
NG,172,0,0.278021935,303.15,10.1021/ie50501a040
NG,89,0,0.278021935,313.15,10.1021/ie50501a040
NG,51.5,0,0.278021935,323.15,10.1021/ie50501a040
NG,31.6,0,0.278021935,333.15,10.1021/ie50501a040
NG,21.2,0,0.278021935,343.15,10.1021/ie50501a040
NG,14.4,0,0.278021935,353.15,10.1021/ie50501a040
NG,10.3,0,0.278021935,363.15,10.1021/ie50501a040
NG,7.54,0,0.278021935,373.15,10.1021/ie50501a040
NG,1950,0,0.307900632,273.15,10.1021/ie50501a040
NG,729,0,0.307900632,283.15,10.1021/ie50501a040
NG,310,0,0.307900632,293.15,10.1021/ie50501a040
NG,147,0,0.307900632,303.15,10.1021/ie50501a040
NG,78.3,0,0.307900632,313.15,10.1021/ie50501a040
NG,44.8,0,0.307900632,323.15,10.1021/ie50501a040
NG,28,0,0.307900632,333.15,10.1021/ie50501a040
NG,19,0,0.307900632,343.15,10.1021/ie50501a040
NG,13.1,0,0.307900632,353.15,10.1021/ie50501a040
NG,9.46,0,0.307900632,363.15,10.1021/ie50501a040
NG,6.82,0,0.307900632,373.15,10.1021/ie50501a040
NG,1590,0,0.335984531,273.15,10.1021/ie50501a040
NG,592,0,0.335984531,283.15,10.1021/ie50501a040
NG,259,0,0.335984531,293.15,10.1021/ie50501a040
NG,126,0,0.335984531,303.15,10.1021/ie50501a040
NG,68.1,0,0.335984531,313.15,10.1021/ie50501a040
NG,39.8,0,0.335984531,323.15,10.1021/ie50501a040
NG,25.1,0,0.335984531,333.15,10.1021/ie50501a040
NG,17.1,0,0.335984531,343.15,10.1021/ie50501a040
NG,11.9,0,0.335984531,353.15,10.1021/ie50501a040
NG,8.62,0,0.335984531,363.15,10.1021/ie50501a040
NG,6.4,0,0.335984531,373.15,10.1021/ie50501a040
NG,1310,0,0.362430635,273.15,10.1021/ie50501a040
NG,498,0,0.362430635,283.15,10.1021/ie50501a040
NG,219,0,0.362430635,293.15,10.1021/ie50501a040
NG,109,0,0.362430635,303.15,10.1021/ie50501a040
NG,60,0,0.362430635,313.15,10.1021/ie50501a040
NG,35.5,0,0.362430635,323.15,10.1021/ie50501a040
